,Player Name,Champion,Win,Side,Kills,Deaths,Assists,KDA,CS,SSpell 1,SSpell 2,End Level,First Blood?,Gold Earned,Gold Spent,Item1,Item2,Item3,Item4,Item5,Item6,Magic Dmg,Physical Dmg,Lane,Role
0,7788 ADC,Kha'Zix,False,Side.blue,2,7,6,1.1428571428571428,53,Smite,Flash,11,False,8076,7835,Skirmisher's Sabre,Youmuu's Ghostblade,Hexdrinker,Boots of Mobility,Caulfield's Warhammer,Long Sword,3221,49503,Lane.jungle,Role.none
1,never negative,Jayce,False,Side.blue,6,5,1,1.4,210,Flash,Teleport,15,False,10985,10725,Corrupting Potion,Youmuu's Ghostblade,The Black Cleaver,Ionian Boots of Lucidity,Maw of Malmortius,,11690,111799,Lane.top_lane,Role.solo
2,Liquid fabbbyyy,Caitlyn,False,Side.blue,4,8,2,0.75,186,Flash,Heal,12,False,9806,9025,Runaan's Hurricane,Kircheis Shard,Infinity Edge,Doran's Blade,Berserker's Greaves,Dagger,1471,112124,Lane.bot_lane,Role.carry
3,konkwon,Thresh,False,Side.blue,1,4,4,1.25,22,Flash,Exhaust,11,False,6771,6350,Face of the Mountain,Aegis of the Legion,Boots of Mobility,Sightstone,Control Ward,Null-Magic Mantle,5884,3811,Lane.bot_lane,Role.support
4,Sìyou,Azir,False,Side.blue,2,7,2,0.5714285714285714,177,Flash,Exhaust,14,False,9253,8375,Doran's Ring,Rylai's Crystal Scepter,Nashor's Tooth,Sorcerer's Shoes,Doran's Ring,,99191,11416,Lane.mid_lane,Role.solo
5,C9 Smoothie,Braum,True,Side.red,0,2,16,8.0,31,Flash,Ignite,12,False,8104,7400,Control Ward,Ruby Sightstone,Redemption,Boots of Mobility,Relic Shield,Aegis of the Legion,7813,7209,Lane.bot_lane,Role.support
6,Whadicol,Yasuo,True,Side.red,7,2,2,4.5,157,Exhaust,Flash,14,False,10487,10250,Doran's Blade,Jaurim's Fist,Infinity Edge,Phantom Dancer,Giant's Belt,Berserker's Greaves,17594,92981,Lane.bot_lane,Role.carry
7,TOP SCORE,Riven,True,Side.red,12,3,6,6.0,185,Smite,Flash,17,False,14583,14200,Infinity Edge,Phantom Dancer,Youmuu's Ghostblade,Ionian Boots of Lucidity,Enchantment: Warrior,Vampiric Scepter,7763,190836,Lane.jungle,Role.none
8,IHateD2Players,Lux,True,Side.red,8,2,9,8.5,212,Flash,Heal,15,True,12447,9885,Doran's Ring,Morellonomicon,Rabadon's Deathcap,Blasting Wand,Sorcerer's Shoes,Amplifying Tome,123242,15460,Lane.mid_lane,Role.solo
9,CloudNguyén,Rumble,True,Side.red,4,6,2,1.0,171,Teleport,Flash,14,False,10235,8850,Zhonya's Hourglass,Liandry's Torment,Doran's Shield,Blasting Wand,Sorcerer's Shoes,,89821,15805,Lane.top_lane,Role.solo
